dashboard_name,widget_type
Usage - Query,chart/line
Usage - Query,chart/pie
Usage - Users,indicator
Usage - Users,pivot
Usage - Users,indicator
Usage - Users,indicator
Usage - Users,indicator
Usage - Users,chart/line
Usage - Users,pivot
Usage - Users,chart/line
Usage - Users,chart/line
Usage - Users,pivot
Usage - Users,pivot
Used Table and Column,pivot2
Used Table and Column,BloX
Used Table and Column,pivot2
Verge_Demo,pivot2
Verge_Demo,chart/line
Verge_Demo,chart/bar
Verge_Demo,chart/pie
Verge_Demo,chart/pie
Verge_Demo (Live),pivot2
Verge_Demo (Live),chart/line
Verge_DS,pivot2
Verizon_Custom_Code,pivot2
Wabtech,tablewidget
Wabtech,chart/column
wellcheck,chart/bar
wellcheck,indicator
wellcheck,indicator
wellcheck,chart/column
wellcheck,pivot2
widget,pivot2
zywave,BloX
zywave,pivot2
zywave,BloX
